12-08-23 10:28[root]INFO | Training on acrobot environment for 1500 episodes
12-08-23 10:28[root]INFO | Agent Type: icct
12-08-23 10:28[root]INFO | Log Directory: acrobot_cpu/icct/aaai_15na_soft_32x32c_rand/
12-08-23 10:28[root]INFO | Random Weight Initialization: True
12-08-23 10:28[root]INFO | Training Started: 2023-08-12 10:28:20
12-08-23 10:28[root]INFO | Using Acrobot Environment
12-08-23 10:28[root]INFO | Hyperparameters: {"learning_rate": 0.045, "ent_coef": 0.01, "gamma": 0.99, "gae_lambda": 0.8, "clip_range": 0.2, "n_epochs": 16, "batch_size": 64, "n_steps": 1024, "vf_coef": 0.5, "max_grad_norm": 0.52}
12-08-23 10:28[root]INFO | ===================> Training with seed 120 <=================
12-08-23 10:28[root]INFO | Agent: ICCT
12-08-23 10:28[root]INFO | Episode: 0, Avg Reward: -500.0, Best Eval: -500.0
12-08-23 10:29[root]INFO | Episode: 50, Avg Reward: -261.29411764705884, Best Eval: -127.96666666666667
12-08-23 10:29[root]INFO | Episode: 100, Avg Reward: -201.56, Best Eval: -88.86666666666666
12-08-23 10:29[root]INFO | Episode: 150, Avg Reward: -129.71, Best Eval: -85.43333333333334
12-08-23 10:30[root]INFO | Episode: 200, Avg Reward: -115.5, Best Eval: -76.9
12-08-23 10:30[root]INFO | Episode: 250, Avg Reward: -106.37, Best Eval: -76.9
12-08-23 10:30[root]INFO | Episode: 300, Avg Reward: -92.39, Best Eval: -76.9
12-08-23 10:30[root]INFO | Episode: 350, Avg Reward: -90.13, Best Eval: -76.9
12-08-23 10:31[root]INFO | Episode: 400, Avg Reward: -98.46, Best Eval: -76.9
12-08-23 10:31[root]INFO | Episode: 450, Avg Reward: -101.24, Best Eval: -74.3
12-08-23 10:31[root]INFO | Episode: 500, Avg Reward: -99.93, Best Eval: -74.3
12-08-23 10:31[root]INFO | Episode: 550, Avg Reward: -96.2, Best Eval: -74.3
12-08-23 10:32[root]INFO | Episode: 600, Avg Reward: -94.12, Best Eval: -74.3
12-08-23 10:32[root]INFO | Episode: 650, Avg Reward: -100.9, Best Eval: -74.3
12-08-23 10:32[root]INFO | Episode: 700, Avg Reward: -95.45, Best Eval: -74.3
12-08-23 10:32[root]INFO | Episode: 750, Avg Reward: -89.79, Best Eval: -74.3
12-08-23 10:33[root]INFO | Episode: 800, Avg Reward: -87.66, Best Eval: -74.3
12-08-23 10:33[root]INFO | Episode: 850, Avg Reward: -90.22, Best Eval: -74.3
12-08-23 10:33[root]INFO | Episode: 900, Avg Reward: -90.23, Best Eval: -74.3
12-08-23 10:33[root]INFO | Episode: 950, Avg Reward: -85.94, Best Eval: -74.3
12-08-23 10:33[root]INFO | Episode: 1000, Avg Reward: -93.77, Best Eval: -74.3
12-08-23 10:34[root]INFO | Episode: 1050, Avg Reward: -98.53, Best Eval: -74.3
12-08-23 10:34[root]INFO | Episode: 1100, Avg Reward: -98.17, Best Eval: -74.3
12-08-23 10:34[root]INFO | Episode: 1150, Avg Reward: -99.74, Best Eval: -74.3
12-08-23 10:35[root]INFO | Episode: 1200, Avg Reward: -98.54, Best Eval: -74.3
12-08-23 10:35[root]INFO | Episode: 1250, Avg Reward: -100.41, Best Eval: -74.3
12-08-23 10:35[root]INFO | Episode: 1300, Avg Reward: -96.73, Best Eval: -74.3
12-08-23 10:35[root]INFO | Episode: 1350, Avg Reward: -91.37, Best Eval: -74.3
12-08-23 10:35[root]INFO | Episode: 1400, Avg Reward: -90.58, Best Eval: -74.3
12-08-23 10:36[root]INFO | Episode: 1450, Avg Reward: -85.52, Best Eval: -74.3
12-08-23 10:36[root]INFO | Agent: ICCT
12-08-23 10:36[root]INFO | ==============> Test reward for seeds [500, 600]: -84.47 +/- 22.931835949177724 <==========
12-08-23 10:36[root]INFO | Execution time of seed 120: 0 hours, 8 minutes, 4 seconds
