12-08-23 10:28[root]INFO | Training on acrobot environment for 1500 episodes
12-08-23 10:28[root]INFO | Agent Type: icct
12-08-23 10:28[root]INFO | Log Directory: acrobot_cpu/icct/aaai_15na_soft_32x32c_rand/
12-08-23 10:28[root]INFO | Random Weight Initialization: True
12-08-23 10:28[root]INFO | Training Started: 2023-08-12 10:28:04
12-08-23 10:28[root]INFO | Using Acrobot Environment
12-08-23 10:28[root]INFO | Hyperparameters: {"learning_rate": 0.045, "ent_coef": 0.01, "gamma": 0.99, "gae_lambda": 0.8, "clip_range": 0.2, "n_epochs": 16, "batch_size": 64, "n_steps": 1024, "vf_coef": 0.5, "max_grad_norm": 0.52}
12-08-23 10:28[root]INFO | ===================> Training with seed 105 <=================
12-08-23 10:28[root]INFO | Agent: ICCT
12-08-23 10:28[root]INFO | Episode: 0, Avg Reward: -500.0, Best Eval: -500.0
12-08-23 10:29[root]INFO | Episode: 50, Avg Reward: -341.6666666666667, Best Eval: -290.5
12-08-23 10:29[root]INFO | Episode: 100, Avg Reward: -238.86, Best Eval: -290.5
12-08-23 10:30[root]INFO | Episode: 150, Avg Reward: -131.13, Best Eval: -94.96666666666667
12-08-23 10:30[root]INFO | Episode: 200, Avg Reward: -112.59, Best Eval: -90.43333333333334
12-08-23 10:30[root]INFO | Episode: 250, Avg Reward: -107.43, Best Eval: -90.13333333333334
12-08-23 10:31[root]INFO | Episode: 300, Avg Reward: -101.97, Best Eval: -81.76666666666667
12-08-23 10:31[root]INFO | Episode: 350, Avg Reward: -90.6, Best Eval: -81.76666666666667
12-08-23 10:31[root]INFO | Episode: 400, Avg Reward: -92.11, Best Eval: -81.76666666666667
12-08-23 10:31[root]INFO | Episode: 450, Avg Reward: -98.48, Best Eval: -81.76666666666667
12-08-23 10:31[root]INFO | Episode: 500, Avg Reward: -101.64, Best Eval: -81.46666666666667
12-08-23 10:32[root]INFO | Episode: 550, Avg Reward: -101.52, Best Eval: -80.76666666666667
12-08-23 10:32[root]INFO | Episode: 600, Avg Reward: -94.22, Best Eval: -80.76666666666667
12-08-23 10:32[root]INFO | Episode: 650, Avg Reward: -92.31, Best Eval: -73.63333333333334
12-08-23 10:32[root]INFO | Episode: 700, Avg Reward: -91.85, Best Eval: -73.63333333333334
12-08-23 10:33[root]INFO | Episode: 750, Avg Reward: -86.38, Best Eval: -73.63333333333334
12-08-23 10:33[root]INFO | Episode: 800, Avg Reward: -87.82, Best Eval: -73.63333333333334
12-08-23 10:33[root]INFO | Episode: 850, Avg Reward: -86.7, Best Eval: -73.63333333333334
12-08-23 10:33[root]INFO | Episode: 900, Avg Reward: -87.44, Best Eval: -73.63333333333334
12-08-23 10:33[root]INFO | Episode: 950, Avg Reward: -89.6, Best Eval: -73.63333333333334
12-08-23 10:34[root]INFO | Episode: 1000, Avg Reward: -92.78, Best Eval: -73.63333333333334
12-08-23 10:34[root]INFO | Episode: 1050, Avg Reward: -92.69, Best Eval: -73.63333333333334
12-08-23 10:34[root]INFO | Episode: 1100, Avg Reward: -85.79, Best Eval: -73.63333333333334
12-08-23 10:34[root]INFO | Episode: 1150, Avg Reward: -88.85, Best Eval: -73.63333333333334
12-08-23 10:35[root]INFO | Episode: 1200, Avg Reward: -90.23, Best Eval: -73.63333333333334
12-08-23 10:35[root]INFO | Episode: 1250, Avg Reward: -89.24, Best Eval: -73.63333333333334
12-08-23 10:35[root]INFO | Episode: 1300, Avg Reward: -99.43, Best Eval: -73.63333333333334
12-08-23 10:35[root]INFO | Episode: 1350, Avg Reward: -98.44, Best Eval: -73.63333333333334
12-08-23 10:35[root]INFO | Episode: 1400, Avg Reward: -91.1, Best Eval: -73.63333333333334
12-08-23 10:36[root]INFO | Episode: 1450, Avg Reward: -89.83, Best Eval: -73.63333333333334
12-08-23 10:36[root]INFO | Agent: ICCT
12-08-23 10:36[root]INFO | ==============> Test reward for seeds [500, 600]: -80.09 +/- 14.9138157424584 <==========
12-08-23 10:36[root]INFO | Execution time of seed 105: 0 hours, 8 minutes, 18 seconds
