12-08-23 10:28[root]INFO | Training on acrobot environment for 1500 episodes
12-08-23 10:28[root]INFO | Agent Type: icct
12-08-23 10:28[root]INFO | Log Directory: acrobot_cpu/icct/aaai_15na_soft_32x32c_rand/
12-08-23 10:28[root]INFO | Random Weight Initialization: True
12-08-23 10:28[root]INFO | Training Started: 2023-08-12 10:28:20
12-08-23 10:28[root]INFO | Using Acrobot Environment
12-08-23 10:28[root]INFO | Hyperparameters: {"learning_rate": 0.045, "ent_coef": 0.01, "gamma": 0.99, "gae_lambda": 0.8, "clip_range": 0.2, "n_epochs": 16, "batch_size": 64, "n_steps": 1024, "vf_coef": 0.5, "max_grad_norm": 0.52}
12-08-23 10:28[root]INFO | ===================> Training with seed 115 <=================
12-08-23 10:28[root]INFO | Agent: ICCT
12-08-23 10:28[root]INFO | Episode: 0, Avg Reward: -500.0, Best Eval: -494.4
12-08-23 10:29[root]INFO | Episode: 50, Avg Reward: -252.2941176470588, Best Eval: -100.46666666666667
12-08-23 10:29[root]INFO | Episode: 100, Avg Reward: -212.95, Best Eval: -100.46666666666667
12-08-23 10:30[root]INFO | Episode: 150, Avg Reward: -142.12, Best Eval: -82.83333333333333
12-08-23 10:30[root]INFO | Episode: 200, Avg Reward: -99.7, Best Eval: -79.73333333333333
12-08-23 10:30[root]INFO | Episode: 250, Avg Reward: -95.54, Best Eval: -78.4
12-08-23 10:30[root]INFO | Episode: 300, Avg Reward: -97.01, Best Eval: -78.4
12-08-23 10:30[root]INFO | Episode: 350, Avg Reward: -95.61, Best Eval: -78.4
12-08-23 10:31[root]INFO | Episode: 400, Avg Reward: -92.63, Best Eval: -78.4
12-08-23 10:31[root]INFO | Episode: 450, Avg Reward: -94.38, Best Eval: -78.4
12-08-23 10:31[root]INFO | Episode: 500, Avg Reward: -99.21, Best Eval: -78.4
12-08-23 10:31[root]INFO | Episode: 550, Avg Reward: -97.93, Best Eval: -78.4
12-08-23 10:32[root]INFO | Episode: 600, Avg Reward: -96.37, Best Eval: -78.4
12-08-23 10:32[root]INFO | Episode: 650, Avg Reward: -97.99, Best Eval: -78.4
12-08-23 10:32[root]INFO | Episode: 700, Avg Reward: -100.63, Best Eval: -78.4
12-08-23 10:32[root]INFO | Episode: 750, Avg Reward: -92.34, Best Eval: -78.4
12-08-23 10:32[root]INFO | Episode: 800, Avg Reward: -86.57, Best Eval: -78.4
12-08-23 10:33[root]INFO | Episode: 850, Avg Reward: -88.1, Best Eval: -78.4
12-08-23 10:33[root]INFO | Episode: 900, Avg Reward: -90.85, Best Eval: -78.4
12-08-23 10:33[root]INFO | Episode: 950, Avg Reward: -91.76, Best Eval: -78.4
12-08-23 10:33[root]INFO | Episode: 1000, Avg Reward: -90.37, Best Eval: -78.4
12-08-23 10:33[root]INFO | Episode: 1050, Avg Reward: -100.05, Best Eval: -78.4
12-08-23 10:34[root]INFO | Episode: 1100, Avg Reward: -106.32, Best Eval: -78.4
12-08-23 10:34[root]INFO | Episode: 1150, Avg Reward: -108.38, Best Eval: -78.4
12-08-23 10:34[root]INFO | Episode: 1200, Avg Reward: -103.6, Best Eval: -78.4
12-08-23 10:34[root]INFO | Episode: 1250, Avg Reward: -94.98, Best Eval: -78.4
12-08-23 10:35[root]INFO | Episode: 1300, Avg Reward: -94.43, Best Eval: -78.4
12-08-23 10:35[root]INFO | Episode: 1350, Avg Reward: -94.27, Best Eval: -78.4
12-08-23 10:35[root]INFO | Episode: 1400, Avg Reward: -88.41, Best Eval: -78.4
12-08-23 10:35[root]INFO | Episode: 1450, Avg Reward: -91.33, Best Eval: -78.3
12-08-23 10:35[root]INFO | Agent: ICCT
12-08-23 10:35[root]INFO | ==============> Test reward for seeds [500, 600]: -89.83 +/- 42.60353389098139 <==========
12-08-23 10:35[root]INFO | Execution time of seed 115: 0 hours, 7 minutes, 39 seconds
