12-08-23 10:28[root]INFO | Training on acrobot environment for 1500 episodes
12-08-23 10:28[root]INFO | Agent Type: icct
12-08-23 10:28[root]INFO | Log Directory: acrobot_cpu/icct/aaai_15na_soft_32x32c_rand/
12-08-23 10:28[root]INFO | Random Weight Initialization: True
12-08-23 10:28[root]INFO | Training Started: 2023-08-12 10:28:20
12-08-23 10:28[root]INFO | Using Acrobot Environment
12-08-23 10:28[root]INFO | Hyperparameters: {"learning_rate": 0.045, "ent_coef": 0.01, "gamma": 0.99, "gae_lambda": 0.8, "clip_range": 0.2, "n_epochs": 16, "batch_size": 64, "n_steps": 1024, "vf_coef": 0.5, "max_grad_norm": 0.52}
12-08-23 10:28[root]INFO | ===================> Training with seed 110 <=================
12-08-23 10:28[root]INFO | Agent: ICCT
12-08-23 10:28[root]INFO | Episode: 0, Avg Reward: -500.0, Best Eval: -500.0
12-08-23 10:29[root]INFO | Episode: 50, Avg Reward: -375.27450980392155, Best Eval: -327.43333333333334
12-08-23 10:30[root]INFO | Episode: 100, Avg Reward: -292.16, Best Eval: -111.56666666666666
12-08-23 10:30[root]INFO | Episode: 150, Avg Reward: -162.71, Best Eval: -85.76666666666667
12-08-23 10:30[root]INFO | Episode: 200, Avg Reward: -106.59, Best Eval: -85.76666666666667
12-08-23 10:31[root]INFO | Episode: 250, Avg Reward: -95.63, Best Eval: -85.76666666666667
12-08-23 10:31[root]INFO | Episode: 300, Avg Reward: -94.59, Best Eval: -82.53333333333333
12-08-23 10:31[root]INFO | Episode: 350, Avg Reward: -97.78, Best Eval: -82.53333333333333
12-08-23 10:31[root]INFO | Episode: 400, Avg Reward: -99.21, Best Eval: -80.53333333333333
12-08-23 10:31[root]INFO | Episode: 450, Avg Reward: -97.4, Best Eval: -80.53333333333333
12-08-23 10:32[root]INFO | Episode: 500, Avg Reward: -92.18, Best Eval: -80.53333333333333
12-08-23 10:32[root]INFO | Episode: 550, Avg Reward: -93.76, Best Eval: -80.53333333333333
12-08-23 10:32[root]INFO | Episode: 600, Avg Reward: -93.7, Best Eval: -80.53333333333333
12-08-23 10:32[root]INFO | Episode: 650, Avg Reward: -86.98, Best Eval: -80.53333333333333
12-08-23 10:32[root]INFO | Episode: 700, Avg Reward: -87.04, Best Eval: -80.1
12-08-23 10:33[root]INFO | Episode: 750, Avg Reward: -88.23, Best Eval: -79.63333333333334
12-08-23 10:33[root]INFO | Episode: 800, Avg Reward: -86.59, Best Eval: -79.63333333333334
12-08-23 10:33[root]INFO | Episode: 850, Avg Reward: -85.07, Best Eval: -79.63333333333334
12-08-23 10:33[root]INFO | Episode: 900, Avg Reward: -89.84, Best Eval: -76.06666666666666
12-08-23 10:34[root]INFO | Episode: 950, Avg Reward: -90.15, Best Eval: -76.06666666666666
12-08-23 10:34[root]INFO | Episode: 1000, Avg Reward: -99.73, Best Eval: -76.06666666666666
12-08-23 10:34[root]INFO | Episode: 1050, Avg Reward: -105.01, Best Eval: -76.06666666666666
12-08-23 10:34[root]INFO | Episode: 1100, Avg Reward: -98.95, Best Eval: -76.06666666666666
12-08-23 10:34[root]INFO | Episode: 1150, Avg Reward: -95.79, Best Eval: -76.06666666666666
12-08-23 10:35[root]INFO | Episode: 1200, Avg Reward: -92.2, Best Eval: -76.06666666666666
12-08-23 10:35[root]INFO | Episode: 1250, Avg Reward: -93.5, Best Eval: -76.06666666666666
12-08-23 10:35[root]INFO | Episode: 1300, Avg Reward: -90.51, Best Eval: -76.06666666666666
12-08-23 10:35[root]INFO | Episode: 1350, Avg Reward: -91.2, Best Eval: -76.06666666666666
12-08-23 10:35[root]INFO | Episode: 1400, Avg Reward: -94.54, Best Eval: -76.06666666666666
12-08-23 10:36[root]INFO | Episode: 1450, Avg Reward: -99.11, Best Eval: -76.06666666666666
12-08-23 10:36[root]INFO | Agent: ICCT
12-08-23 10:36[root]INFO | ==============> Test reward for seeds [500, 600]: -85.55 +/- 29.458572606288982 <==========
12-08-23 10:36[root]INFO | Execution time of seed 110: 0 hours, 8 minutes, 6 seconds
