12-08-23 10:06[root]INFO | Training on cart environment for 1500 episodes
12-08-23 10:06[root]INFO | Agent Type: icct
12-08-23 10:06[root]INFO | Log Directory: cart_cpu/icct/aaai_15n_16x16c_rand/
12-08-23 10:06[root]INFO | Random Weight Initialization: True
12-08-23 10:06[root]INFO | Training Started: 2023-08-12 10:06:01
12-08-23 10:06[root]INFO | Using Cart Pole Environment
12-08-23 10:06[root]INFO | Hyperparameters: {"learning_rate": 0.024, "gamma": 0.99, "batch_size": 32, "n_steps": 832, "ent_coef": 0.02, "clip_range": 0.2, "vf_coef": 0.5, "max_grad_norm": 0.5, "gae_lambda": 0.86, "n_epochs": 20}
12-08-23 10:06[root]INFO | ===================> Training with seed 62 <=================
12-08-23 10:06[root]INFO | Agent: ICCT
12-08-23 10:06[root]INFO | Episode: 0, Avg Reward: 17.0, Best Eval: 9.366666666666667
12-08-23 10:06[root]INFO | Episode: 50, Avg Reward: 17.15686274509804, Best Eval: 9.366666666666667
12-08-23 10:06[root]INFO | Episode: 100, Avg Reward: 20.68, Best Eval: 30.733333333333334
12-08-23 10:06[root]INFO | Episode: 150, Avg Reward: 32.44, Best Eval: 120.83333333333333
12-08-23 10:06[root]INFO | Episode: 200, Avg Reward: 63.67, Best Eval: 213.8
12-08-23 10:07[root]INFO | Episode: 250, Avg Reward: 73.27, Best Eval: 213.8
12-08-23 10:07[root]INFO | Episode: 300, Avg Reward: 75.52, Best Eval: 213.8
12-08-23 10:07[root]INFO | Episode: 350, Avg Reward: 83.77, Best Eval: 213.8
12-08-23 10:08[root]INFO | Episode: 400, Avg Reward: 75.62, Best Eval: 271.56666666666666
12-08-23 10:08[root]INFO | Episode: 450, Avg Reward: 71.98, Best Eval: 271.56666666666666
12-08-23 10:09[root]INFO | Episode: 500, Avg Reward: 97.01, Best Eval: 271.56666666666666
12-08-23 10:09[root]INFO | Episode: 550, Avg Reward: 92.57, Best Eval: 271.56666666666666
12-08-23 10:09[root]INFO | Episode: 600, Avg Reward: 69.57, Best Eval: 271.56666666666666
12-08-23 10:10[root]INFO | Episode: 650, Avg Reward: 72.47, Best Eval: 271.56666666666666
12-08-23 10:10[root]INFO | Episode: 700, Avg Reward: 73.74, Best Eval: 271.56666666666666
12-08-23 10:10[root]INFO | Episode: 750, Avg Reward: 74.1, Best Eval: 271.56666666666666
12-08-23 10:11[root]INFO | Episode: 800, Avg Reward: 89.09, Best Eval: 271.56666666666666
12-08-23 10:12[root]INFO | Episode: 850, Avg Reward: 132.66, Best Eval: 484.1
12-08-23 10:13[root]INFO | Episode: 900, Avg Reward: 185.68, Best Eval: 484.1
12-08-23 10:14[root]INFO | Episode: 950, Avg Reward: 180.18, Best Eval: 486.96666666666664
12-08-23 10:15[root]INFO | Episode: 1000, Avg Reward: 173.83, Best Eval: 499.26666666666665
12-08-23 10:16[root]INFO | Episode: 1050, Avg Reward: 204.49, Best Eval: 500.0
12-08-23 10:17[root]INFO | Episode: 1100, Avg Reward: 154.76, Best Eval: 500.0
12-08-23 10:17[root]INFO | Episode: 1150, Avg Reward: 114.33, Best Eval: 500.0
12-08-23 10:18[root]INFO | Episode: 1200, Avg Reward: 108.66, Best Eval: 500.0
12-08-23 10:19[root]INFO | Episode: 1250, Avg Reward: 141.43, Best Eval: 500.0
12-08-23 10:20[root]INFO | Episode: 1300, Avg Reward: 203.08, Best Eval: 500.0
12-08-23 10:20[root]INFO | Episode: 1350, Avg Reward: 184.07, Best Eval: 500.0
12-08-23 10:21[root]INFO | Episode: 1400, Avg Reward: 153.54, Best Eval: 500.0
12-08-23 10:22[root]INFO | Episode: 1450, Avg Reward: 164.39, Best Eval: 500.0
12-08-23 10:23[root]INFO | Agent: ICCT
12-08-23 10:23[root]INFO | ==============> Test reward for seeds [500, 600]: 498.57 +/- 10.164895474130567 <==========
12-08-23 10:23[root]INFO | Execution time of seed 62: 0 hours, 17 minutes, 47 seconds
