12-08-23 10:06[root]INFO | Training on cart environment for 1500 episodes
12-08-23 10:06[root]INFO | Agent Type: icct
12-08-23 10:06[root]INFO | Log Directory: cart_cpu/icct/aaai_15n_16x16c_rand/
12-08-23 10:06[root]INFO | Random Weight Initialization: True
12-08-23 10:06[root]INFO | Training Started: 2023-08-12 10:06:01
12-08-23 10:06[root]INFO | Using Cart Pole Environment
12-08-23 10:06[root]INFO | Hyperparameters: {"learning_rate": 0.024, "gamma": 0.99, "batch_size": 32, "n_steps": 832, "ent_coef": 0.02, "clip_range": 0.2, "vf_coef": 0.5, "max_grad_norm": 0.5, "gae_lambda": 0.86, "n_epochs": 20}
12-08-23 10:06[root]INFO | ===================> Training with seed 65 <=================
12-08-23 10:06[root]INFO | Agent: ICCT
12-08-23 10:06[root]INFO | Episode: 0, Avg Reward: 11.0, Best Eval: 9.133333333333333
12-08-23 10:06[root]INFO | Episode: 50, Avg Reward: 22.647058823529413, Best Eval: 43.63333333333333
12-08-23 10:06[root]INFO | Episode: 100, Avg Reward: 37.13, Best Eval: 159.5
12-08-23 10:06[root]INFO | Episode: 150, Avg Reward: 70.64, Best Eval: 159.5
12-08-23 10:07[root]INFO | Episode: 200, Avg Reward: 74.55, Best Eval: 159.5
12-08-23 10:07[root]INFO | Episode: 250, Avg Reward: 76.51, Best Eval: 198.46666666666667
12-08-23 10:07[root]INFO | Episode: 300, Avg Reward: 82.49, Best Eval: 198.46666666666667
12-08-23 10:08[root]INFO | Episode: 350, Avg Reward: 105.64, Best Eval: 198.46666666666667
12-08-23 10:09[root]INFO | Episode: 400, Avg Reward: 132.27, Best Eval: 368.43333333333334
12-08-23 10:09[root]INFO | Episode: 450, Avg Reward: 110.75, Best Eval: 368.43333333333334
12-08-23 10:10[root]INFO | Episode: 500, Avg Reward: 89.27, Best Eval: 368.43333333333334
12-08-23 10:10[root]INFO | Episode: 550, Avg Reward: 74.4, Best Eval: 368.43333333333334
12-08-23 10:10[root]INFO | Episode: 600, Avg Reward: 60.12, Best Eval: 415.56666666666666
12-08-23 10:11[root]INFO | Episode: 650, Avg Reward: 63.28, Best Eval: 415.56666666666666
12-08-23 10:11[root]INFO | Episode: 700, Avg Reward: 72.21, Best Eval: 415.56666666666666
12-08-23 10:12[root]INFO | Episode: 750, Avg Reward: 97.38, Best Eval: 415.56666666666666
12-08-23 10:13[root]INFO | Episode: 800, Avg Reward: 148.23, Best Eval: 461.1333333333333
12-08-23 10:13[root]INFO | Episode: 850, Avg Reward: 133.01, Best Eval: 461.1333333333333
12-08-23 10:13[root]INFO | Episode: 900, Avg Reward: 53.52, Best Eval: 461.1333333333333
12-08-23 10:13[root]INFO | Episode: 950, Avg Reward: 13.95, Best Eval: 461.1333333333333
12-08-23 10:13[root]INFO | Episode: 1000, Avg Reward: 17.19, Best Eval: 461.1333333333333
12-08-23 10:13[root]INFO | Episode: 1050, Avg Reward: 28.31, Best Eval: 461.1333333333333
12-08-23 10:13[root]INFO | Episode: 1100, Avg Reward: 39.81, Best Eval: 461.1333333333333
12-08-23 10:14[root]INFO | Episode: 1150, Avg Reward: 90.99, Best Eval: 463.0
12-08-23 10:15[root]INFO | Episode: 1200, Avg Reward: 147.8, Best Eval: 463.0
12-08-23 10:16[root]INFO | Episode: 1250, Avg Reward: 171.38, Best Eval: 475.26666666666665
12-08-23 10:16[root]INFO | Episode: 1300, Avg Reward: 158.1, Best Eval: 475.26666666666665
12-08-23 10:17[root]INFO | Episode: 1350, Avg Reward: 114.49, Best Eval: 475.26666666666665
12-08-23 10:17[root]INFO | Episode: 1400, Avg Reward: 96.43, Best Eval: 475.26666666666665
12-08-23 10:18[root]INFO | Episode: 1450, Avg Reward: 127.57, Best Eval: 475.26666666666665
12-08-23 10:19[root]INFO | Agent: ICCT
12-08-23 10:19[root]INFO | ==============> Test reward for seeds [500, 600]: 500.00 +/- 0.0 <==========
12-08-23 10:19[root]INFO | Execution time of seed 65: 0 hours, 13 minutes, 37 seconds
