12-08-23 00:51[root]INFO | Training on acrobot environment for 1500 episodes
12-08-23 00:51[root]INFO | Agent Type: icct
12-08-23 00:51[root]INFO | Log Directory: acrobot_cpu/icct/aaai_15n_32x32c_rand/
12-08-23 00:51[root]INFO | Random Weight Initialization: True
12-08-23 00:51[root]INFO | Training Started: 2023-08-12 00:51:41
12-08-23 00:51[root]INFO | Using Acrobot Environment
12-08-23 00:51[root]INFO | Hyperparameters: {"learning_rate": 0.045, "ent_coef": 0.01, "gamma": 0.99, "gae_lambda": 0.8, "clip_range": 0.2, "n_epochs": 16, "batch_size": 64, "n_steps": 1024, "vf_coef": 0.5, "max_grad_norm": 0.52}
12-08-23 00:51[root]INFO | ===================> Training with seed 115 <=================
12-08-23 00:51[root]INFO | Agent: ICCT
12-08-23 00:51[root]INFO | Episode: 0, Avg Reward: -500.0, Best Eval: -500.0
12-08-23 00:53[root]INFO | Episode: 50, Avg Reward: -495.6470588235294, Best Eval: -500.0
12-08-23 00:54[root]INFO | Episode: 100, Avg Reward: -497.78, Best Eval: -500.0
12-08-23 00:56[root]INFO | Episode: 150, Avg Reward: -500.0, Best Eval: -500.0
12-08-23 00:57[root]INFO | Episode: 200, Avg Reward: -500.0, Best Eval: -500.0
12-08-23 00:59[root]INFO | Episode: 250, Avg Reward: -500.0, Best Eval: -388.8333333333333
12-08-23 01:00[root]INFO | Episode: 300, Avg Reward: -500.0, Best Eval: -388.8333333333333
12-08-23 01:02[root]INFO | Episode: 350, Avg Reward: -500.0, Best Eval: -388.8333333333333
12-08-23 01:03[root]INFO | Episode: 400, Avg Reward: -424.07, Best Eval: -182.66666666666666
12-08-23 01:04[root]INFO | Episode: 450, Avg Reward: -264.16, Best Eval: -106.9
12-08-23 01:04[root]INFO | Episode: 500, Avg Reward: -148.31, Best Eval: -99.83333333333333
12-08-23 01:05[root]INFO | Episode: 550, Avg Reward: -169.4, Best Eval: -99.83333333333333
12-08-23 01:06[root]INFO | Episode: 600, Avg Reward: -254.36, Best Eval: -99.83333333333333
12-08-23 01:06[root]INFO | Episode: 650, Avg Reward: -202.69, Best Eval: -84.86666666666666
12-08-23 01:06[root]INFO | Episode: 700, Avg Reward: -110.24, Best Eval: -84.86666666666666
12-08-23 01:06[root]INFO | Episode: 750, Avg Reward: -101.68, Best Eval: -80.2
12-08-23 01:07[root]INFO | Episode: 800, Avg Reward: -100.89, Best Eval: -80.2
12-08-23 01:07[root]INFO | Episode: 850, Avg Reward: -104.06, Best Eval: -80.2
12-08-23 01:07[root]INFO | Episode: 900, Avg Reward: -110.26, Best Eval: -80.2
12-08-23 01:08[root]INFO | Episode: 950, Avg Reward: -111.48, Best Eval: -80.2
12-08-23 01:08[root]INFO | Episode: 1000, Avg Reward: -107.51, Best Eval: -80.2
12-08-23 01:08[root]INFO | Episode: 1050, Avg Reward: -99.94, Best Eval: -80.2
12-08-23 01:09[root]INFO | Episode: 1100, Avg Reward: -96.87, Best Eval: -80.2
12-08-23 01:09[root]INFO | Episode: 1150, Avg Reward: -92.45, Best Eval: -80.2
12-08-23 01:10[root]INFO | Episode: 1200, Avg Reward: -155.29, Best Eval: -80.2
12-08-23 01:10[root]INFO | Episode: 1250, Avg Reward: -169.21, Best Eval: -80.2
12-08-23 01:10[root]INFO | Episode: 1300, Avg Reward: -105.97, Best Eval: -80.2
12-08-23 01:11[root]INFO | Episode: 1350, Avg Reward: -98.67, Best Eval: -80.2
12-08-23 01:11[root]INFO | Episode: 1400, Avg Reward: -102.25, Best Eval: -80.2
12-08-23 01:11[root]INFO | Episode: 1450, Avg Reward: -117.1, Best Eval: -80.2
12-08-23 01:12[root]INFO | Agent: ICCT
12-08-23 01:12[root]INFO | ==============> Test reward for seeds [500, 600]: -93.49 +/- 37.646379640013194 <==========
12-08-23 01:12[root]INFO | Execution time of seed 115: 0 hours, 20 minutes, 40 seconds
