12-08-23 00:51[root]INFO | Training on acrobot environment for 1500 episodes
12-08-23 00:51[root]INFO | Agent Type: icct
12-08-23 00:51[root]INFO | Log Directory: acrobot_cpu/icct/aaai_15n_32x32c_rand/
12-08-23 00:51[root]INFO | Random Weight Initialization: True
12-08-23 00:51[root]INFO | Training Started: 2023-08-12 00:51:49
12-08-23 00:51[root]INFO | Using Acrobot Environment
12-08-23 00:51[root]INFO | Hyperparameters: {"learning_rate": 0.045, "ent_coef": 0.01, "gamma": 0.99, "gae_lambda": 0.8, "clip_range": 0.2, "n_epochs": 16, "batch_size": 64, "n_steps": 1024, "vf_coef": 0.5, "max_grad_norm": 0.52}
12-08-23 00:51[root]INFO | ===================> Training with seed 110 <=================
12-08-23 00:51[root]INFO | Agent: ICCT
12-08-23 00:52[root]INFO | Episode: 0, Avg Reward: -500.0, Best Eval: -500.0
12-08-23 00:53[root]INFO | Episode: 50, Avg Reward: -419.6862745098039, Best Eval: -86.4
12-08-23 00:54[root]INFO | Episode: 100, Avg Reward: -274.38, Best Eval: -86.4
12-08-23 00:55[root]INFO | Episode: 150, Avg Reward: -122.21, Best Eval: -86.4
12-08-23 00:55[root]INFO | Episode: 200, Avg Reward: -112.96, Best Eval: -86.4
12-08-23 00:56[root]INFO | Episode: 250, Avg Reward: -105.06, Best Eval: -86.4
12-08-23 00:57[root]INFO | Episode: 300, Avg Reward: -133.48, Best Eval: -86.4
12-08-23 00:57[root]INFO | Episode: 350, Avg Reward: -141.52, Best Eval: -86.4
12-08-23 00:58[root]INFO | Episode: 400, Avg Reward: -115.31, Best Eval: -80.66666666666667
12-08-23 00:58[root]INFO | Episode: 450, Avg Reward: -103.21, Best Eval: -80.66666666666667
12-08-23 00:59[root]INFO | Episode: 500, Avg Reward: -91.17, Best Eval: -80.66666666666667
12-08-23 00:59[root]INFO | Episode: 550, Avg Reward: -98.34, Best Eval: -80.66666666666667
12-08-23 01:00[root]INFO | Episode: 600, Avg Reward: -104.18, Best Eval: -80.66666666666667
12-08-23 01:00[root]INFO | Episode: 650, Avg Reward: -99.46, Best Eval: -77.16666666666667
12-08-23 01:00[root]INFO | Episode: 700, Avg Reward: -92.06, Best Eval: -75.8
12-08-23 01:01[root]INFO | Episode: 750, Avg Reward: -87.29, Best Eval: -75.8
12-08-23 01:02[root]INFO | Episode: 800, Avg Reward: -143.85, Best Eval: -75.8
12-08-23 01:03[root]INFO | Episode: 850, Avg Reward: -160.35, Best Eval: -75.8
12-08-23 01:03[root]INFO | Episode: 900, Avg Reward: -108.49, Best Eval: -75.8
12-08-23 01:04[root]INFO | Episode: 950, Avg Reward: -97.23, Best Eval: -75.8
12-08-23 01:04[root]INFO | Episode: 1000, Avg Reward: -97.5, Best Eval: -75.8
12-08-23 01:04[root]INFO | Episode: 1050, Avg Reward: -94.69, Best Eval: -75.8
12-08-23 01:05[root]INFO | Episode: 1100, Avg Reward: -89.9, Best Eval: -75.8
12-08-23 01:05[root]INFO | Episode: 1150, Avg Reward: -100.93, Best Eval: -75.8
12-08-23 01:06[root]INFO | Episode: 1200, Avg Reward: -109.33, Best Eval: -75.8
12-08-23 01:06[root]INFO | Episode: 1250, Avg Reward: -102.96, Best Eval: -75.8
12-08-23 01:07[root]INFO | Episode: 1300, Avg Reward: -99.72, Best Eval: -75.8
12-08-23 01:07[root]INFO | Episode: 1350, Avg Reward: -97.63, Best Eval: -75.8
12-08-23 01:08[root]INFO | Episode: 1400, Avg Reward: -98.9, Best Eval: -75.8
12-08-23 01:09[root]INFO | Episode: 1450, Avg Reward: -97.06, Best Eval: -75.8
12-08-23 01:09[root]INFO | Agent: ICCT
12-08-23 01:10[root]INFO | ==============> Test reward for seeds [500, 600]: -83.80 +/- 24.652788888886384 <==========
12-08-23 01:10[root]INFO | Execution time of seed 110: 0 hours, 18 minutes, 12 seconds
